Date,Bonds - Global Governments,Bonds - UK Corporate,Bonds - UK Government All Stocks,Bonds - UK Government Long Duration,Commodities - Gold,Commodities - Natural Resources,Equities - Emerging Markets,Equities - Global Flex Cap,Equities - Global Large Cap 1,Equities - Global Large Cap 2,Equities - Global Small Cap,Equities - UK Large Cap,Equities - UK Small Cap,Property
06/05/2011,100.5,104.1,160.09,105.9,1525,99.67,1.56,89.14,1.09,0.7239,418.3,151.73,252.93,106.6
09/05/2011,100.4,104.1,160.19,106.35,1534,99.67,1.57,89.76,1.1,0.7246,421.1,152.92,254.3,106.4
10/05/2011,100.6,104.2,160.19,106.29,1553,101.1,1.58,90.61,1.11,0.7263,421.7,153.63,255.05,107.1
11/05/2011,99.66,103.8,159.49,105.78,1547,100.7,1.57,90.84,1.11,0.7268,421.5,155.72,254.85,107.1
12/05/2011,100.7,104.2,160.19,106.26,1492,97.81,1.55,90.13,1.11,0.7254,413.7,155.28,254.21,106.4
13/05/2011,101,104,159.79,106.2,1500,98.45,1.56,91.13,1.13,0.7329,423.7,156.63,254.28,107.3
16/05/2011,101.2,104.3,160.29,105.88,1475,97.16,1.54,89.99,1.12,0.7287,419.9,155.56,254.52,106.2
17/05/2011,100.4,104,159.79,106.14,1489,97.47,1.54,89.38,1.12,0.7241,416.9,155.37,253.32,106.2
18/05/2011,101.3,104.3,160.19,105.78,1503,97.96,1.56,89.66,1.12,0.7289,420.1,155.39,252.72,107.3
19/05/2011,100.6,103.9,159.49,105.75,1522,99.59,1.56,90.28,1.13,0.7279,421.6,155.62,253.49,108.1
20/05/2011,100.7,104.3,160.29,106.3,1515,99.14,1.56,90.66,1.13,0.7287,423.2,156.7,254.12,108
23/05/2011,100.8,104.6,160.99,106.81,1505,97.58,1.53,89.16,1.12,0.7235,414.3,154.57,253.89,106.3
24/05/2011,100.8,104.3,160.69,106.57,1515,98.17,1.53,89.01,1.12,0.7191,415,154.29,243.66,106.4
25/05/2011,100.3,104.3,160.79,107,1521,98.02,1.53,88.59,1.11,0.7151,412.6,153.98,252.62,105.9
26/05/2011,100.1,104.3,160.99,107.58,1534,98.96,1.54,88.97,1.11,0.7172,413.2,154.3,253.62,106
27/05/2011,100.1,104.3,161.09,107.66,1539,99.36,1.54,89.43,1.11,0.7193,414.2,154.96,254.36,106.6
30/05/2011,100.1,104.3,161.09,107.66,1539,99.36,1.54,89.43,1.11,0.7193,414.2,154.96,254.36,106.6
31/05/2011,99.63,104.2,161.19,107.71,1565,100.5,1.56,90.02,1.12,0.7206,420.3,156.02,255.7,107.7
01/06/2011,100.3,104.4,161.59,108.25,1574,101.1,1.59,90.72,1.13,0.7259,424.3,156.83,255.41,108.6
02/06/2011,101.2,104.6,161.79,107.87,1551,98.79,1.57,89.96,1.12,0.7235,419.3,155.1,253.59,106.9
03/06/2011,101.8,104.5,161.69,107.6,1546,98.8,1.57,89.96,1.11,0.7237,423.2,155.83,254.45,106.7
06/06/2011,101.6,104.4,161.59,107.42,1535,98.27,1.56,89.33,1.1,0.7237,422.8,155.47,254.39,106.2
07/06/2011,101.4,104.2,161.09,106.29,1520,97.78,1.55,89.21,1.1,0.7153,420.8,156.05,254.67,105.7
08/06/2011,101.8,104.1,160.89,107.07,1496,96.86,1.55,88.74,1.1,0.7128,419.6,154.58,254.39,105.8
09/06/2011,101.5,104.3,161.49,106.87,1478,96.64,1.54,88.28,1.09,0.7084,410.7,153.98,254.97,105.3
10/06/2011,102,104.4,161.59,107.51,1507,98.25,1.55,88.73,1.1,0.7146,417.4,155.01,255.99,105.3
13/06/2011,101.7,104.4,161.79,107.17,1487,96.84,1.54,87.45,1.09,0.7073,412,152.93,256.73,103.8
14/06/2011,101.2,104.1,161.49,106.76,1468,96.04,1.53,87.12,1.09,0.7063,408.2,153.94,256.75,104
15/06/2011,101.3,104,161.29,107.01,1488,97.51,1.54,88.15,1.1,0.7107,413.5,154.46,258.23,105.2
16/06/2011,102,104.2,162.09,107.86,1472,95.52,1.53,86.53,1.09,0.7036,409.2,152.51,255.85,104.2
17/06/2011,102.3,104,161.69,107.48,1456,95.39,1.51,86.56,1.09,0.7036,400.5,151.84,254.72,104.7
20/06/2011,102.3,104.2,162.09,107.18,1445,94.2,1.51,86.4,1.09,0.7055,403.6,151.84,254.04,104.2
21/06/2011,102.4,103.9,161.59,106.77,1462,95.66,1.52,87.26,1.1,0.7096,406.6,152.85,253.38,105.5
22/06/2011,102.8,104.3,162.29,106.83,1491,96.91,1.54,88.61,1.11,0.7146,408.7,153.68,255.01,105.9
23/06/2011,103.3,104.2,161.79,107.27,1508,96.64,1.54,88.61,1.11,0.7139,408.5,152.79,254.79,106.3
24/06/2011,103.4,104.2,162.29,107.64,1495,96.72,1.55,88.59,1.1,0.713,407.8,152.71,254.73,106
27/06/2011,103.3,104.3,162.59,107.62,1467,95.69,1.55,88.3,1.1,0.7106,405.8,152.32,254.6,105.6
28/06/2011,103.5,103.9,161.89,106.21,1477,96.58,1.56,88.8,1.11,0.7137,408.2,152.26,254.8,106.2
29/06/2011,103,103,160.29,105.56,1503,99.18,1.58,90.06,1.12,0.7164,411,153.76,255.63,107.4
30/06/2011,103.5,103.6,161.09,105.31,1519,100.1,1.6,90.44,1.12,0.726,419.5,155.99,256.85,108.3
01/07/2011,103.2,103.3,160.39,105.23,1520,100.9,1.61,91.17,1.13,0.7313,419.6,157.41,258.29,108.5
04/07/2011,102.7,103.4,160.49,105.53,1514,101.4,1.62,91.86,1.14,0.7363,427.5,158.83,259.87,109.6
05/07/2011,102.4,103.6,160.69,105.75,1507,101.2,1.62,91.84,1.14,0.7413,429.1,160.33,260.23,109.6
06/07/2011,102.8,103.9,161.29,106.43,1529,101.9,1.62,92.04,1.14,0.7448,429.3,159.61,261.09,110.5
07/07/2011,102.8,103.9,161.29,105.9,1551,102.4,1.64,92.51,1.15,0.747,432.1,160.05,262.97,110.9
08/07/2011,102.6,103.9,161.29,107.11,1564,103.5,1.65,93.09,1.16,0.7506,434.6,161.07,263.14,112
11/07/2011,103.2,104.6,162.79,108.06,1549,102,1.61,92.11,1.15,0.745,427.6,158.9,262.66,110.5
12/07/2011,104.4,105,163.89,108.19,1536,100.4,1.58,90.41,1.14,0.7406,413.6,155.48,259.37,109.4
13/07/2011,103.9,104.4,162.79,107.35,1584,101.5,1.58,90.38,1.14,0.7383,416.4,156.87,259.04,110.1
14/07/2011,103.1,104.4,162.89,107.61,1611,100.9,1.59,89.97,1.13,0.7325,419.4,156.22,259.34,108.2
15/07/2011,103,104.4,162.99,108.09,1615,100.2,1.58,89.16,1.12,0.7296,413.6,155.45,251.12,107.5
18/07/2011,102.9,104.7,163.69,108.66,1625,100.3,1.57,88.62,1.12,0.726,414,155.11,258.91,107.5
19/07/2011,103,104.4,163.29,108.43,1658,100.7,1.57,88.48,1.11,0.7209,410.9,154.13,258.45,107.6
20/07/2011,103.1,104.3,163.19,108.25,1639,101.9,1.59,89.57,1.12,0.7287,414.8,155.67,258.3,108.7
21/07/2011,102.7,104.4,163.29,107.25,1640,101.2,1.57,89.27,1.12,0.7278,415.1,155.3,257.18,108.5
22/07/2011,102.6,104.2,162.29,108.27,1628,102.5,1.59,90,1.12,0.7319,424,157.59,258.79,109.2
25/07/2011,102.8,105,163.69,109.23,1646,102.1,1.58,90.62,1.12,0.7322,424.8,156.71,259.6,108.8
26/07/2011,102.2,104.9,163.59,108.73,1637,102.3,1.58,90.21,1.11,0.7297,425.2,156.06,259.19,108.5
27/07/2011,102.6,105,163.79,109.26,1645,102,1.58,90.06,1.11,0.7291,420.8,155.46,259.36,108.6
28/07/2011,102.6,105.3,164.39,109.06,1617,100.1,1.56,88.67,1.1,0.7217,410.2,153.88,259.12,107.1
29/07/2011,103,105.5,164.69,110.37,1606,99.43,1.56,88.54,1.1,0.7162,412.5,154.36,258.8,106.9
01/08/2011,102.9,105.6,164.89,110.64,1590,99.94,1.57,88.99,1.09,0.7162,414.7,154.83,260.03,107.9
02/08/2011,103.3,106,165.79,110.71,1585,97.85,1.55,87.8,1.08,0.7122,404.7,150.78,257.43,106.1
03/08/2011,103.3,106.2,166.39,111.88,1604,95.76,1.51,85.74,1.06,0.7012,393.3,148.17,254.79,103.3
04/08/2011,102.3,106.4,166.99,112.78,1598,93.67,1.5,84.95,1.07,0.6974,386.1,148.76,250.43,101.6
05/08/2011,103.4,106.4,167.49,112.95,1537,89.27,1.43,81.61,1.04,0.6819,356.4,142.57,238.7,97.59
08/08/2011,103.4,106.4,167.69,112.91,1499,86.13,1.39,79.97,1.03,0.6731,349.4,141.95,227.35,93.38
09/08/2011,104.2,106,167.69,111.56,1493,83.53,1.33,77.32,1.01,0.655,332.2,135.49,220.46,89.74
10/08/2011,105.7,105.8,167.39,113.89,1553,87.74,1.39,80.7,1.05,0.678,359.1,141.39,237.88,95.15
11/08/2011,106,106,168.69,113.37,1595,86.73,1.37,78.54,1.01,0.6605,354.9,139.02,236.48,94.4
12/08/2011,105.2,105.4,167.99,112.47,1592,88.65,1.37,80.56,1.04,0.6715,355.5,141.55,238.33,96.03
15/08/2011,105,105.5,167.99,112.45,1591,90.16,1.39,81.54,1.05,0.6842,368.4,144.35,241.53,97.01
16/08/2011,104.8,105.4,167.79,111.73,1597,89.16,1.41,81.13,1.05,0.6799,367,142.65,242.1,97.43
17/08/2011,104.8,105.8,168.69,113.85,1610,89.8,1.4,80.79,1.05,0.6811,360.7,142.44,241.87,98.06
18/08/2011,104.8,106.7,170.39,116.72,1600,87.58,1.38,79.92,1.04,0.676,357.4,141.3,241.34,96.02
19/08/2011,104.7,106.5,170.59,116.05,1574,83.35,1.32,76.46,1.01,0.6579,340.4,136,237.84,92.45
22/08/2011,104.9,106.2,170.09,116.45,1631,85.12,1.32,76.87,1.02,0.6646,340.8,138.09,238.83,93.1
23/08/2011,104.8,106,170.29,116.18,1666,85.15,1.34,77.12,1.02,0.6698,345.6,138.72,239.31,93.79
24/08/2011,104.8,105.6,169.99,115.23,1620,85.49,1.34,78.39,1.03,0.6649,345.5,138.56,238.78,93.62
25/08/2011,105,105,168.99,116.04,1607,87.85,1.36,80.02,1.05,0.677,351.3,140.83,238.96,96.03
26/08/2011,105.6,105.3,169.89,115.91,1628,86.87,1.34,79.23,1.03,0.6727,351.4,138.86,238.68,95.16
29/08/2011,105.6,105.3,169.89,115.91,1628,86.87,1.34,79.23,1.03,0.6727,351.4,138.86,238.68,95.16
30/08/2011,105.6,104.9,168.99,115.45,1662,90.47,1.39,82.16,1.06,0.6893,364.4,142.22,239.25,98.66
31/08/2011,106.1,104.9,168.79,113.03,1697,91.83,1.43,83.43,1.07,0.7003,367.6,143.51,240.33,99.78
01/09/2011,105.9,105,168.89,114.5,1701,92.56,1.45,83.74,1.08,0.7046,372,145.94,241.79,101.1
02/09/2011,106.1,105.2,169.39,115.65,1712,91.26,1.43,83.01,1.08,0.7004,364.6,146.38,242.77,99.24
05/09/2011,106.7,106.3,171.89,118.04,1732,88.78,1.4,81.06,1.06,0.6906,358.7,143.23,241.72,96.94
06/09/2011,106.8,105.5,170.99,117.66,1736,88.73,1.4,80.79,1.06,0.6878,354,142.57,240.72,96.61
07/09/2011,107.3,105.4,170.99,116.53,1760,91.3,1.43,82.31,1.06,0.6917,359.1,144.36,241.23,99.01
08/09/2011,107.4,105.5,171.49,116.82,1769,92.73,1.44,83.75,1.08,0.6989,366.6,145.53,242.36,100.4
09/09/2011,107,105.5,171.69,118.65,1790,91.92,1.42,83.11,1.07,0.6977,355.7,144.28,242.83,99.39
12/09/2011,107.6,105.7,173.2,119.78,1757,87.84,1.37,80.85,1.04,0.6814,347.5,140.57,241.8,95.74
13/09/2011,107.7,105.4,173.3,119.67,1718,88.13,1.37,81.09,1.04,0.6824,348.6,139.53,241.85,96.26
14/09/2011,108,105,172.9,119.2,1729,90.24,1.38,82.45,1.06,0.6879,350.7,140.88,241.91,96.82
15/09/2011,107.9,104.3,171.39,117.46,1717,91.34,1.39,83.72,1.07,0.6943,358.4,143.82,243,97.5
16/09/2011,108.1,104.5,171.39,118.25,1707,92.11,1.41,84.14,1.08,0.7035,359.1,144.87,243.25,98.88
19/09/2011,108.6,105.3,173,119.8,1717,90.27,1.39,83.86,1.08,0.7056,354.6,143.45,243.38,98.05
20/09/2011,109,105.2,173.1,119.69,1716,90.9,1.39,84.19,1.09,0.7046,354.5,143.79,242.59,98.05
21/09/2011,109.3,105,172.39,118.46,1756,89.83,1.38,84.17,1.09,0.7086,360.1,146.08,242.31,97.98
22/09/2011,111,105.3,173.7,120.74,1691,84.39,1.32,82.07,1.07,0.7005,347.2,141.62,239.88,93.34
23/09/2011,111.2,105.4,174.5,120.96,1594,81.44,1.28,80.16,1.05,0.6958,344.1,140.78,238.21,92.34
26/09/2011,110.3,104.6,173.4,120.06,1518,81.77,1.27,80.81,1.06,0.6993,341.4,141.88,237.42,92.83
27/09/2011,109.5,103.9,171.79,118,1555,84.23,1.32,82.27,1.08,0.7067,346.3,143.81,237.97,94.42
28/09/2011,109,104,171.79,118.85,1541,84.71,1.33,82.79,1.09,0.7098,351.6,144.68,237.64,94.74
29/09/2011,109,104.4,172.49,118.47,1485,81.9,1.32,81.5,1.07,0.7028,349.1,143.36,238.14,93.91
30/09/2011,109.1,104.4,172.49,120.29,1470,80.62,1.3,80.63,1.07,0.7019,343.9,142.08,237.59,93.51
03/10/2011,109.5,104.8,173.8,122.77,1489,79.38,1.27,79.11,1.06,0.6976,335,139.53,226.77,92.31
04/10/2011,110.6,105.8,176.7,124.71,1471,76.55,1.24,77.56,1.04,0.6926,330,138.47,224,90.29
05/10/2011,110,104.7,175.1,123.4,1439,79.26,1.24,78.7,1.06,0.7004,332,139.31,223.18,91.7
06/10/2011,110.9,105.3,174.9,124.06,1505,83.19,1.27,80.06,1.07,0.7099,340.9,140.81,232.84,93.15
07/10/2011,109.5,104.6,174.8,123.52,1527,83.78,1.31,80.85,1.08,0.7111,346.7,142.34,233.88,93.88
10/10/2011,108.6,104.4,174.3,122.19,1518,84.33,1.3,81.18,1.07,0.7073,348.5,143.51,235.66,92.99
11/10/2011,108.7,104,173.2,121.45,1527,85.03,1.33,82.19,1.09,0.718,352.4,145.04,236.05,94.8
12/10/2011,107.9,103.6,171.99,119.78,1551,86.75,1.34,82.88,1.09,0.7168,358,146.54,236.29,94.52
13/10/2011,108,104.2,172.8,121.83,1550,86.61,1.36,83.35,1.1,0.7238,361.1,147.74,236.59,95.93
14/10/2011,107.6,104.1,172.59,121.03,1544,87.35,1.36,83.8,1.1,0.7227,360.8,148.52,236.75,95.86
17/10/2011,107.7,104.5,173.1,122.2,1571,88.82,1.38,84.62,1.1,0.7267,367.8,150.1,237.98,97.5
18/10/2011,107.9,104.8,173.9,123.88,1529,86.41,1.34,83.46,1.09,0.7187,357.1,146.8,228.07,94.89
19/10/2011,107.6,104.8,173.8,123.53,1540,87.9,1.35,84.42,1.1,0.7273,360.8,148.28,228.29,96.74
20/10/2011,107.6,105.1,174.3,123.78,1470,86.66,1.33,83.41,1.1,0.7209,355,147.07,237.55,95.73
21/10/2011,107.2,104.7,173.5,122.24,1451,86.26,1.32,83.44,1.1,0.7188,357.3,147.47,237.97,95.52
24/10/2011,107,104.9,173.6,121.6,1468,88.09,1.35,84.33,1.12,0.7274,359.6,149.33,239.12,97.61
25/10/2011,106.5,104.5,172.8,123.55,1504,89.57,1.38,85.13,1.12,0.7258,366.7,150.24,239.29,98.62
26/10/2011,107.2,105.4,174.7,124.63,1532,88.45,1.38,84.53,1.1,0.7172,361.4,149.25,239.48,97.37
27/10/2011,107.2,105.3,173.8,121.56,1575,92.6,1.41,85.78,1.11,0.7199,370.8,152.13,241.44,100.5
28/10/2011,106.3,105.1,172.39,120.62,1568,92.87,1.43,86.75,1.12,0.7266,376.5,153.86,243.03,102.2
31/10/2011,105.8,105.9,173.9,123.83,1581,91.95,1.44,86.11,1.12,0.7266,374.6,151.97,244.92,101.3
01/11/2011,106.3,107.1,177,127.28,1520,87.61,1.39,84.1,1.1,0.7071,361.4,146.85,243.07,98.9
02/11/2011,106,106.6,176.2,126.3,1552,88.34,1.39,83.69,1.08,0.697,356.4,146.01,242.43,98.48
03/11/2011,105.8,106.3,175.8,124.83,1574,89.19,1.39,84.26,1.09,0.7018,361.9,147.84,242.14,98.72
04/11/2011,105.9,106.4,175.7,125.53,1608,90.93,1.42,85.4,1.1,0.7125,366.3,149.57,243.29,100.2
07/11/2011,105.5,106.9,176.8,126.05,1591,89.83,1.41,84.29,1.08,0.7091,364.8,147.27,243.55,98.83
08/11/2011,105.5,106.8,176.8,127.28,1630,91.29,1.41,84.82,1.1,0.7143,364.2,150.12,244.66,99.12
09/11/2011,105.7,107.1,177.6,128.63,1613,90.02,1.4,84.44,1.1,0.7177,365.7,149.79,243.55,99.18
10/11/2011,106,106.9,178.2,128.45,1597,89.82,1.38,83.16,1.09,0.7098,359.5,148.42,241.33,97.54
11/11/2011,106.1,106.8,177.8,126.79,1586,89.35,1.39,83.16,1.09,0.711,358.8,148.76,241.51,97.15
14/11/2011,106.4,106.8,177.9,128.32,1623,90.62,1.41,83.91,1.1,0.7172,365.1,149.99,242.25,98.83
15/11/2011,106.4,107.1,179.2,130.04,1599,89.19,1.4,83.25,1.1,0.7121,363.1,148.36,242.27,96.89
16/11/2011,106.8,107.2,179.9,129.98,1614,89.61,1.4,83.78,1.11,0.7153,362.2,149.61,242.55,97.4
17/11/2011,106.9,106.7,179.6,129.37,1597,88.99,1.39,82.76,1.1,0.7102,358.2,147.12,241.88,96.61
18/11/2011,106.5,105.8,178.2,128.24,1545,88.19,1.35,81.85,1.09,0.7046,355.9,146.67,240.75,95.17
21/11/2011,107.8,106.1,178.9,128.77,1509,86.21,1.34,81.24,1.09,0.7085,351,144.36,239.72,94.65
22/11/2011,107.9,105.7,178.5,129.9,1498,86.84,1.34,81.07,1.09,0.706,343.9,143.43,238.19,94.7
23/11/2011,107.8,105.7,179.5,130.94,1501,85.13,1.32,80.57,1.08,0.703,340.1,142.69,236.03,93.31
24/11/2011,108,105.4,179.2,131.08,1493,85.23,1.32,80.13,1.07,0.6968,338.9,141.42,235.76,92.95
25/11/2011,107.6,104.8,178.7,129.08,1472,83.8,1.3,79.61,1.07,0.6962,335.1,140.41,235.36,91.88
28/11/2011,107,104.6,178.3,130.54,1496,86.22,1.34,80.46,1.08,0.7,345.7,143.53,236.75,94.38
29/11/2011,106.8,105.3,180.2,131.55,1505,87.21,1.34,81.31,1.09,0.7096,349.8,145.18,236.78,95.23
30/11/2011,106.8,105.2,180.6,129.63,1521,88.04,1.34,81.77,1.1,0.7106,346,146.14,236.58,95.32
01/12/2011,106.8,104.1,177.2,128.37,1586,90.68,1.4,83.41,1.12,0.7196,356.2,150.01,238.3,98.04
02/12/2011,107.1,104.2,177.2,126.58,1603,92,1.4,83.8,1.12,0.7192,358.4,149.63,238.94,98.36
05/12/2011,107.7,104.4,177.3,125.71,1577,91.67,1.42,83.9,1.12,0.7223,362.9,150.14,240.25,98.84
06/12/2011,107.8,104.6,177.5,128.73,1554,91.15,1.42,84.2,1.13,0.728,359.5,149.89,239.79,98.19
07/12/2011,108,105.3,178.7,127.57,1572,91.85,1.42,83.88,1.13,0.7288,362.9,150.42,240.8,98.83
08/12/2011,107.5,105.5,178.9,128.29,1567,91.09,1.4,83.42,1.13,0.727,356.7,150.08,241.82,98.46
09/12/2011,107.2,105.4,178.6,127.51,1538,90.01,1.37,82.36,1.12,0.7206,351.4,148.24,242.61,96.87
12/12/2011,107.4,105.7,179.5,129.39,1533,89.49,1.39,82.74,1.13,0.7263,355.7,148.18,243.06,97.23
13/12/2011,107.5,105.8,180,128.59,1506,88.9,1.36,82.09,1.12,0.7215,349.2,146.89,243.04,96.52
14/12/2011,107.9,105.5,179,129.35,1464,87.76,1.36,81.43,1.11,0.7208,345.3,146.39,243.06,95.63
15/12/2011,108.2,105.7,179.7,129.05,1424,86.29,1.33,80.63,1.11,0.7157,342.8,144.2,242.01,95.44
16/12/2011,108.3,105.7,179.5,130.88,1422,87.07,1.34,81.2,1.11,0.7162,341.9,145.29,241.81,96.8
19/12/2011,108.5,106,180.2,131.08,1435,87.04,1.33,81.55,1.11,0.7198,344.9,144.98,240.97,96.89
20/12/2011,107.8,106.1,180.5,130.78,1402,85.96,1.31,80.9,1.1,0.7116,337.1,144.8,239.98,95.82
21/12/2011,107.4,106.4,180.9,130.96,1440,87.75,1.35,82.2,1.12,0.7224,344.3,146.51,230.14,97.51
22/12/2011,107.1,106.3,180.5,130.7,1430,88.05,1.34,81.98,1.12,0.7219,343,146.68,239.61,97.41
23/12/2011,107.2,106.4,180.7,130.86,1430,89.02,1.36,82.34,1.13,0.7255,343.4,147.21,239.61,98.63
26/12/2011,107.2,106.4,180.7,130.86,1430,89.02,1.36,82.34,1.13,0.7255,343.4,147.21,239.61,98.63
27/12/2011,107.2,106.4,180.7,130.86,1430,89.02,1.36,82.34,1.13,0.7255,343.4,147.21,239.61,98.63
28/12/2011,107.5,106.5,180.8,131.35,1429,89.2,1.36,82.94,1.14,0.7327,347,148.81,240.34,98.95
29/12/2011,109.1,106.8,181.6,132.53,1400,88.86,1.37,83.1,1.15,0.7371,347.2,148.8,240.65,99.38
30/12/2011,109,106.9,181.6,131.93,1417,89.3,1.37,83.63,1.15,0.7396,347.7,149.45,240.65,99.67
02/01/2012,109,106.9,181.6,131.93,1417,89.3,1.37,83.63,1.15,0.7396,347.7,149.45,240.65,99.67
03/01/2012,108.4,106.7,180.9,131.15,1443,91.41,1.38,83.72,1.15,0.7309,350.1,151.3,242.3,100.5
04/01/2012,108.2,106.8,180.8,130.84,1469,92.02,1.39,83.99,1.16,0.7335,351.1,152.15,243.18,100.4
05/01/2012,108.3,106.8,180.8,131.08,1468,91.55,1.39,83.98,1.15,0.7292,349.6,150.17,243.65,99.18
06/01/2012,108,106.6,180.3,131.65,1482,92.44,1.39,84.27,1.16,0.7285,351.1,150.05,243.32,99.85
09/01/2012,108.6,106.8,180.7,131.98,1483,92.14,1.39,84.66,1.16,0.7313,354.9,150.14,234.57,99.94
10/01/2012,108.4,106.9,180.9,130.74,1508,93.57,1.42,84.79,1.16,0.7325,358.4,150.5,244.33,100.7
11/01/2012,109,106.8,180.5,131.73,1527,94,1.42,85.22,1.17,0.7343,364.7,150.94,235.96,101.4
12/01/2012,109.7,107,181,131.43,1540,94.71,1.44,85.54,1.17,0.7349,364.8,151.25,246,102.6
13/01/2012,110.1,107.3,181.4,132.84,1531,94.25,1.45,85.66,1.17,0.7375,365.7,151.96,246.27,102.5
16/01/2012,110,107.4,182,133.21,1516,93.83,1.43,85.54,1.16,0.7329,362.8,151.2,246.1,102.1
17/01/2012,109.8,107.4,181.8,133.46,1535,95.02,1.46,86.1,1.16,0.7347,372.5,153.29,246.59,103.3
18/01/2012,110,107.8,182.5,133.62,1514,94.88,1.47,86.08,1.17,0.7338,371.4,153.4,247.66,103.3
19/01/2012,109.5,107.8,182.2,131.85,1514,95.24,1.49,86.46,1.17,0.732,372.8,153.85,248.29,104.1
20/01/2012,108.9,107.4,180.9,130.52,1487,94.84,1.49,86.49,1.18,0.737,371.3,154.87,249.74,105
23/01/2012,108.5,107,179.7,129.33,1489,94.69,1.49,86.08,1.17,0.7346,374.5,154.44,251.98,105.2
24/01/2012,108.3,107.2,179.9,129.57,1491,94.56,1.49,85.54,1.17,0.7358,372.4,154.44,252.25,104.6
25/01/2012,107.7,107.2,179.4,129.82,1479,94.63,1.49,85.66,1.18,0.7326,376.4,153.6,253.01,105.4
26/01/2012,108,107.7,180.1,130.55,1543,96.07,1.51,86.16,1.19,0.7334,376.7,154.55,254.03,106.2
27/01/2012,108.4,108.1,180.7,130.54,1561,95.76,1.51,85.79,1.18,0.7323,378.2,154.46,254.42,106.4
30/01/2012,108.6,108.5,181.4,131.81,1565,94.83,1.49,85.2,1.18,0.7303,376.9,152.59,254.96,105.7
31/01/2012,108.3,108.4,181.2,132.85,1555,94.65,1.49,85.29,1.17,0.723,376,152.66,256.63,105
01/02/2012,108.7,108.7,181.6,131.65,1561,94.74,1.5,85.58,1.17,0.7273,379.5,154.52,256.57,106
02/02/2012,108.4,108.4,180.5,129.92,1566,94.92,1.52,86.25,1.18,0.7295,386.8,155.39,259.77,106.3
03/02/2012,108.5,108.3,179.8,128.09,1579,95.02,1.52,86.51,1.18,0.7335,388.8,156.07,261.96,106.5
06/02/2012,108.3,108.1,179.2,128.31,1564,95.82,1.52,87.26,1.19,0.739,392.1,157.22,262.59,107.4
07/02/2012,107.9,108.2,179,127.42,1554,95.79,1.52,87.2,1.19,0.7374,392.8,157.24,262.83,107.2
08/02/2012,107.6,107.9,178,127.69,1548,95.89,1.53,87.38,1.19,0.7368,395,157.37,263.83,107.5
09/02/2012,107.8,108.4,178.8,125.04,1538,96.13,1.52,87.46,1.19,0.7385,394.1,157,265.86,108.2
10/02/2012,107.5,108,177.8,126.07,1525,95.08,1.51,88.01,1.19,0.737,390,157.64,265.55,106.9
13/02/2012,107.7,108.1,177.9,126.42,1539,95.96,1.52,87.89,1.19,0.7386,390.1,157.68,265.09,107.5
14/02/2012,107.9,108.3,178.5,127.45,1526,95.86,1.53,88.47,1.2,0.743,392.2,157.89,265.72,108.4
15/02/2012,107.8,108.5,178.9,127.82,1517,95.98,1.54,88.75,1.2,0.7479,397.3,158.94,266.66,108.9
16/02/2012,107.6,108.5,178.8,126.57,1497,95.1,1.52,87.96,1.2,0.7468,390.2,157.39,265.94,108.1
17/02/2012,106.7,108,177.6,125.64,1517,95.83,1.54,88.2,1.2,0.7477,391.6,158.92,265.87,108.6
20/02/2012,106.5,107.8,177,124.73,1516,96.66,1.55,88.5,1.21,0.7476,396.4,159.96,267.32,109.2
21/02/2012,106.7,107.9,177,125.48,1515,96.23,1.54,88.42,1.21,0.7487,395.3,159.95,268.01,108.7
22/02/2012,107.1,108.4,177.8,126.52,1549,97.45,1.55,88.75,1.21,0.7517,395.4,160.17,271.53,108.6
23/02/2012,107.3,108.8,178.3,127.21,1581,98.08,1.54,88.98,1.21,0.754,397.2,160.04,272.32,108.1
24/02/2012,106.9,109.3,179.4,127.99,1575,98.1,1.54,89.09,1.21,0.7518,400.3,159.95,273.1,108.8
27/02/2012,106.5,109.8,180.2,129.13,1536,96.92,1.53,88.68,1.21,0.7477,399.4,158.76,274.48,107.5
28/02/2012,106.9,110,180.6,129.46,1547,97.71,1.54,88.9,1.21,0.7486,399.8,158.65,274.78,108.9
29/02/2012,106.4,109.8,179.9,128.55,1567,97.82,1.54,88.93,1.21,0.7455,400.5,158.47,276.23,108
01/03/2012,105.9,109.4,178.9,127.18,1521,96.6,1.53,88.67,1.21,0.7436,398.3,158.22,276.98,107.2
02/03/2012,105.8,109.6,178.8,128.61,1529,97.48,1.54,88.98,1.21,0.7437,401.1,158.71,277.87,108.1
05/03/2012,106.4,110.1,179.8,128.29,1504,96.59,1.54,88.84,1.21,0.7446,396.4,158.28,278.21,108.2
06/03/2012,106.6,110,179.5,128.98,1472,94.4,1.52,88.05,1.2,0.7434,390.4,157.31,277.06,107.3
07/03/2012,107,110.1,179.9,128.96,1457,93.58,1.51,87.76,1.2,0.742,386,156.93,276.08,107.3
08/03/2012,106.4,109.8,179.4,128.76,1472,94.62,1.51,88.88,1.21,0.7418,391.6,158.26,276.64,108.6
09/03/2012,106.3,109.9,179.5,128.58,1480,94.38,1.53,89.47,1.22,0.7485,395.1,160.1,278.41,108.3
12/03/2012,107,110.2,180,129.62,1493,95.4,1.54,90.33,1.23,0.7528,397,160.54,279.41,109.2
13/03/2012,106.6,110.2,180,128.26,1489,95.6,1.55,90.49,1.23,0.7547,399.6,161.84,279.52,110.4
